   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
 233 | 0.890 | 0.830 | 0.001 |  2.877 |   8 |   5 |  __ |     __ |      __ |       __ | 
 234 | 0.622 | 0.168 | 0.006 |  2.883 |   8 |   5 |  __ |     __ |      __ |       __ | 
 235 | 0.477 | 0.247 | 0.009 |  2.892 |   8 |   4 |   3 |  2.964 | 0.23291 |  3.19700 | 
 236 | 0.799 | 0.388 | 0.003 |  2.895 |   8 |   5 |  __ |     __ |      __ |       __ | 
 237 | 0.851 | 0.142 | 0.002 |  2.897 |   8 |   5 |  __ |     __ |      __ |       __ | 
 238 | 0.395 | 0.082 | 0.011 |  2.908 |   8 |   4 |   6 |  2.970 | 0.41708 |  3.38719 | 
 239 | 0.487 | 0.538 | 0.009 |  2.917 |   8 |   4 |   2 |  3.034 | 0.10339 |  3.13765 | 
 240 | 0.125 | 0.111 | 0.025 |  2.942 |   8 |   4 |   7 |  3.043 | 0.36702 |  3.41007 | 
 241 | 0.712 | 0.165 | 0.004 |  2.946 |   8 |   5 |  __ |     __ |      __ |       __ | 
 242 | 0.885 | 0.116 | 0.001 |  2.948 |   8 |   4 |   5 |  3.049 | 0.35859 |  3.40759 | 
 243 | 0.776 | 0.837 | 0.003 |  2.951 |   8 |   5 |  __ |     __ |      __ |       __ | 
 244 | 0.152 | 0.427 | 0.023 |  2.974 |   8 |   3 |   4 |  3.074 | 0.14188 |  3.21595 | 
 245 | 0.732 | 0.565 | 0.004 |  2.978 |   8 |   4 |   1 |  3.103 | 0.09530 |  3.19873 | 
 246 | 0.453 | 0.013 | 0.010 |  2.987 |   8 |   5 |  __ |     __ |      __ |       __ | 
 247 | 0.497 | 0.459 | 0.009 |  2.996 |   8 |   5 |  __ |     __ |      __ |       __ | 
 248 | 0.048 | 0.009 | 0.037 |  3.033 |   8 |   5 |  __ |     __ |      __ |       __ | 
 249 | 0.798 | 0.824 | 0.003 |  3.036 |   8 |   4 |   2 |  3.138 | 0.03232 |  3.16997 | 
 250 | 0.508 | 0.481 | 0.008 |  3.044 |   8 |   4 |   8 |  3.166 | 0.12213 |  3.28858 | 
 251 | 0.757 | 0.535 | 0.003 |  3.047 |   8 |   5 |  __ |     __ |      __ |       __ | 
 252 | 0.626 | 0.649 | 0.006 |  3.053 |   8 |   4 |   2 |  3.170 | 0.07195 |  3.24192 | 
 253 | 0.105 | 0.029 | 0.028 |  3.081 |   8 |   4 |   3 |  3.197 | 0.58751 |  3.78451 | 
 254 | 0.221 | 0.229 | 0.018 |  3.099 |   8 |   5 |  __ |     __ |      __ |       __ | 
 255 | 0.368 | 0.857 | 0.012 |  3.111 |   8 |   4 |   1 |  3.199 | 0.02578 |  3.22451 | 
 256 | 0.795 | 0.962 | 0.003 |  3.114 |   8 |   5 |  __ |     __ |      __ |       __ | 
 257 | 0.458 | 0.225 | 0.010 |  3.124 |   8 |   5 |  __ |     __ |      __ |       __ | 
 258 | 0.025 | 0.894 | 0.045 |  3.169 |   8 |   3 |   4 |  3.216 | 0.01869 |  3.23464 | 
 259 | 0.232 | 0.679 | 0.018 |  3.186 |   8 |   3 |   1 |  3.225 | 0.06457 |  3.28908 | 
 260 | 0.414 | 0.394 | 0.011 |  3.197 |   8 |   3 |   4 |  3.235 | 0.15517 |  3.38981 | 
 261 | 0.445 | 0.864 | 0.010 |  3.207 |   8 |   3 |   2 |  3.242 | 0.02437 |  3.26629 | 
 262 | 0.743 | 0.754 | 0.004 |  3.211 |   8 |   4 |   2 |  3.266 | 0.04703 |  3.31332 | 
 263 | 0.357 | 0.101 | 0.013 |  3.223 |   8 |   4 |   8 |  3.289 | 0.38143 |  3.67000 | 
 264 | 0.677 | 0.603 | 0.005 |  3.228 |   8 |   4 |   1 |  3.289 | 0.08429 |  3.37336 | 
 265 | 0.009 | 0.519 | 0.057 |  3.285 |   8 |   2 |   2 |  3.313 | 0.10920 |  3.42252 | 
 266 | 0.958 | 0.299 | 0.001 |  3.286 |   8 |   3 |   1 |  3.373 | 0.20139 |  3.57476 | 
 267 | 0.389 | 0.710 | 0.012 |  3.297 |   8 |   2 |   6 |  3.387 | 0.05698 |  3.44417 | 
 268 | 0.431 | 0.827 | 0.010 |  3.307 |   8 |   3 |   4 |  3.390 | 0.03165 |  3.42147 | 
 269 | 0.135 | 0.219 | 0.024 |  3.332 |   8 |   3 |   5 |  3.408 | 0.25300 |  3.66059 | 
 270 | 0.464 | 0.327 | 0.009 |  3.341 |   8 |   4 |   7 |  3.410 | 0.18605 |  3.59612 | 
 271 | 0.903 | 0.409 | 0.001 |  3.342 |   8 |   5 |  __ |     __ |      __ |       __ | 
 272 | 0.551 | 0.888 | 0.007 |  3.350 |   8 |   5 |  __ |     __ |      __ |       __ | 
 273 | 0.552 | 0.486 | 0.007 |  3.357 |   8 |   5 |  __ |     __ |      __ |       __ | 
 274 | 0.163 | 0.914 | 0.022 |  3.379 |   8 |   4 |   4 |  3.421 | 0.01493 |  3.43640 | 
 275 | 0.155 | 0.897 | 0.023 |  3.402 |   8 |   3 |   2 |  3.423 | 0.01808 |  3.44060 | 
 276 | 0.986 | 0.574 | 0.000 |  3.402 |   8 |   4 |   4 |  3.436 | 0.09251 |  3.52891 | 
 277 | 0.828 | 0.179 | 0.002 |  3.404 |   8 |   5 |  __ |     __ |      __ |       __ | 
 278 | 0.162 | 0.431 | 0.022 |  3.427 |   8 |   1 |   2 |  3.441 | 0.14029 |  3.58089 | 
 279 | 0.994 | 0.451 | 0.000 |  3.427 |   8 |   2 |   6 |  3.444 | 0.13275 |  3.57692 | 
 280 | 0.135 | 0.401 | 0.024 |  3.451 |   8 |   0 |   4 |  3.529 | 0.15226 |  3.68117 | 
 281 | 0.519 | 0.544 | 0.008 |  3.459 |   8 |   1 |   1 |  3.575 | 0.10147 |  3.67623 | 
 282 | 0.341 | 0.350 | 0.013 |  3.472 |   8 |   2 |   6 |  3.577 | 0.17499 |  3.75191 | 
 283 | 0.350 | 0.786 | 0.013 |  3.485 |   8 |   3 |   2 |  3.581 | 0.04022 |  3.62111 | 
 284 | 0.228 | 0.411 | 0.018 |  3.503 |   8 |   4 |   7 |  3.596 | 0.14800 |  3.74412 | 
 285 | 0.737 | 0.282 | 0.004 |  3.507 |   8 |   5 |  __ |     __ |      __ |       __ | 
 286 | 0.138 | 0.148 | 0.024 |  3.531 |   8 |   4 |   2 |  3.621 | 0.31851 |  3.93962 | 
 287 | 0.400 | 0.742 | 0.011 |  3.542 |   8 |   5 |  __ |     __ |      __ |       __ | 
 288 | 0.136 | 0.549 | 0.024 |  3.566 |   8 |   5 |  __ |     __ |      __ |       __ | 
 289 | 0.948 | 0.438 | 0.001 |  3.567 |   8 |   5 |  __ |     __ |      __ |       __ | 
 290 | 0.888 | 0.820 | 0.001 |  3.568 |   8 |   5 |  __ |     __ |      __ |       __ | 
 291 | 0.029 | 0.175 | 0.043 |  3.612 |   8 |   1 |   5 |  3.661 | 0.29047 |  3.95106 | 
 292 | 0.895 | 0.843 | 0.001 |  3.613 |   8 |   2 |   8 |  3.670 | 0.02853 |  3.69854 | 
 293 | 0.616 | 0.036 | 0.006 |  3.619 |   8 |   3 |   1 |  3.676 | 0.55328 |  4.22951 | 
 294 | 0.041 | 0.573 | 0.039 |  3.658 |   8 |   3 |   4 |  3.681 | 0.09269 |  3.77386 | 
 295 | 0.313 | 0.803 | 0.014 |  3.672 |   8 |   2 |   8 |  3.699 | 0.03652 |  3.73506 | 
 296 | 0.887 | 0.162 | 0.001 |  3.674 |   8 |   3 |   8 |  3.735 | 0.30371 |  4.03877 | 
 297 | 0.780 | 0.014 | 0.003 |  3.677 |   8 |   3 |   7 |  3.744 | 0.71063 |  4.45475 | 
 298 | 0.963 | 0.595 | 0.000 |  3.677 |   8 |   4 |   6 |  3.752 | 0.08660 |  3.83851 | 
 299 | 0.636 | 0.826 | 0.006 |  3.683 |   8 |   4 |   4 |  3.774 | 0.03189 |  3.80575 | 
 300 | 0.935 | 0.711 | 0.001 |  3.683 |   8 |   5 |  __ |     __ |      __ |       __ | 
 301 | 0.348 | 0.722 | 0.013 |  3.696 |   8 |   5 |  __ |     __ |      __ |       __ | 
 302 | 0.283 | 0.937 | 0.015 |  3.712 |   8 |   4 |   3 |  3.785 | 0.01088 |  3.79538 | 
 303 | 0.965 | 0.361 | 0.000 |  3.712 |   8 |   5 |  __ |     __ |      __ |       __ | 
 304 | 0.891 | 0.919 | 0.001 |  3.714 |   8 |   5 |  __ |     __ |      __ |       __ | 
 305 | 0.377 | 0.788 | 0.012 |  3.726 |   8 |   5 |  __ |     __ |      __ |       __ | 
 306 | 0.046 | 0.351 | 0.038 |  3.763 |   8 |   2 |   3 |  3.795 | 0.17456 |  3.96994 | 
 307 | 0.807 | 0.423 | 0.003 |  3.766 |   8 |   3 |   4 |  3.806 | 0.14344 |  3.94919 | 
 308 | 0.906 | 0.390 | 0.001 |  3.767 |   8 |   4 |   6 |  3.839 | 0.15709 |  3.99560 | 
 309 | 0.017 | 0.701 | 0.050 |  3.817 |   8 |   1 |   2 |  3.940 | 0.05911 |  3.99873 | 
 310 | 0.783 | 0.838 | 0.003 |  3.820 |   8 |   2 |   4 |  3.949 | 0.02937 |  3.97856 | 
 311 | 0.643 | 0.170 | 0.005 |  3.825 |   8 |   3 |   5 |  3.951 | 0.29525 |  4.24631 | 
 312 | 0.058 | 0.838 | 0.035 |  3.860 |   8 |   3 |   3 |  3.970 | 0.02943 |  3.99937 | 
 313 | 0.096 | 0.726 | 0.029 |  3.889 |   8 |   4 |   4 |  3.979 | 0.05325 |  4.03181 | 
 314 | 0.099 | 0.083 | 0.028 |  3.917 |   8 |   5 |  __ |     __ |      __ |       __ | 
 315 | 0.696 | 0.452 | 0.004 |  3.921 |   8 |   5 |  __ |     __ |      __ |       __ | 
 316 | 0.573 | 0.029 | 0.007 |  3.928 |   8 |   5 |  __ |     __ |      __ |       __ | 
 317 | 0.338 | 0.612 | 0.013 |  3.941 |   8 |   4 |   6 |  3.996 | 0.08172 |  4.07732 | 
 318 | 0.554 | 0.747 | 0.007 |  3.949 |   8 |   5 |  __ |     __ |      __ |       __ | 
 319 | 0.174 | 0.702 | 0.021 |  3.970 |   8 |   3 |   2 |  3.999 | 0.05895 |  4.05769 | 
 320 | 0.773 | 0.716 | 0.003 |  3.973 |   8 |   3 |   3 |  3.999 | 0.05571 |  4.05508 | 
 321 | 0.116 | 0.006 | 0.026 |  3.999 |   8 |   1 |   4 |  4.032 | 0.84408 |  4.87589 | 
 322 | 0.247 | 0.462 | 0.017 |  4.016 |   8 |   1 |   8 |  4.039 | 0.12860 |  4.16738 | 
 323 | 0.269 | 0.662 | 0.016 |  4.032 |   8 |   1 |   3 |  4.055 | 0.06882 |  4.12389 | 
 324 | 0.774 | 0.236 | 0.003 |  4.036 |   8 |   2 |   2 |  4.058 | 0.24031 |  4.29800 | 
 325 | 0.433 | 0.584 | 0.010 |  4.046 |   8 |   2 |   6 |  4.077 | 0.08956 |  4.16689 | 
 326 | 0.794 | 0.451 | 0.003 |  4.049 |   8 |   3 |   3 |  4.124 | 0.13270 |  4.25659 | 
 327 | 0.008 | 0.593 | 0.059 |  4.107 |   8 |   1 |   6 |  4.167 | 0.08704 |  4.25393 | 
 328 | 0.668 | 0.842 | 0.005 |  4.112 |   8 |   2 |   8 |  4.167 | 0.02862 |  4.19600 | 
 329 | 0.066 | 0.704 | 0.033 |  4.145 |   8 |   2 |   8 |  4.196 | 0.05846 |  4.25446 | 
 330 | 0.587 | 0.891 | 0.006 |  4.152 |   8 |   3 |   1 |  4.230 | 0.01931 |  4.24881 | 
 331 | 0.473 | 0.235 | 0.009 |  4.161 |   8 |   4 |   5 |  4.246 | 0.24135 |  4.48765 | 
 332 | 0.761 | 0.636 | 0.003 |  4.164 |   8 |   5 |  __ |     __ |      __ |       __ | 
 333 | 0.981 | 0.041 | 0.000 |  4.165 |   8 |   5 |  __ |     __ |      __ |       __ | 
 334 | 0.440 | 0.969 | 0.010 |  4.175 |   8 |   3 |   1 |  4.249 | 0.00531 |  4.25412 | 
 335 | 0.342 | 0.603 | 0.013 |  4.188 |   8 |   4 |   6 |  4.254 | 0.08434 |  4.33826 | 
 336 | 0.095 | 0.759 | 0.029 |  4.216 |   8 |   4 |   1 |  4.254 | 0.04603 |  4.30016 | 
 337 | 0.131 | 0.671 | 0.025 |  4.241 |   8 |   4 |   8 |  4.254 | 0.06645 |  4.32091 | 
 338 | 0.583 | 0.064 | 0.007 |  4.248 |   8 |   4 |   3 |  4.257 | 0.45799 |  4.71459 | 
 339 | 0.566 | 0.494 | 0.007 |  4.255 |   8 |   1 |   2 |  4.298 | 0.11749 |  4.41549 | 
 340 | 0.505 | 0.124 | 0.008 |  4.263 |   8 |   1 |   1 |  4.300 | 0.34759 |  4.64775 | 
 341 | 0.185 | 0.057 | 0.021 |  4.284 |   8 |   2 |   8 |  4.321 | 0.47841 |  4.79932 | 
 342 | 0.236 | 0.737 | 0.018 |  4.301 |   8 |   1 |   6 |  4.338 | 0.05097 |  4.38924 | 
 343 | 0.134 | 0.342 | 0.025 |  4.326 |   8 |   1 |   6 |  4.389 | 0.17861 |  4.56784 | 
 344 | 0.959 | 0.395 | 0.001 |  4.326 |   8 |   2 |   2 |  4.415 | 0.15486 |  4.57035 | 
 345 | 0.502 | 0.843 | 0.008 |  4.335 |   8 |   3 |   7 |  4.455 | 0.02856 |  4.48331 | 
 346 | 0.888 | 0.279 | 0.001 |  4.336 |   8 |   4 |   7 |  4.483 | 0.21292 |  4.69623 | 
 347 | 0.325 | 0.128 | 0.014 |  4.350 |   8 |   4 |   5 |  4.488 | 0.34322 |  4.83088 | 
 348 | 0.139 | 0.885 | 0.024 |  4.374 |   8 |   5 |  __ |     __ |      __ |       __ | 
 349 | 0.363 | 0.520 | 0.012 |  4.386 |   8 |   5 |  __ |     __ |      __ |       __ | 
 350 | 0.398 | 0.733 | 0.011 |  4.397 |   8 |   4 |   6 |  4.568 | 0.05182 |  4.61966 | 
 351 | 0.521 | 0.315 | 0.008 |  4.405 |   8 |   5 |  __ |     __ |      __ |       __ | 
 352 | 0.605 | 0.702 | 0.006 |  4.412 |   8 |   5 |  __ |     __ |      __ |       __ | 
 353 | 0.438 | 0.625 | 0.010 |  4.422 |   8 |   4 |   2 |  4.570 | 0.07837 |  4.64872 | 
 354 | 0.448 | 0.394 | 0.010 |  4.431 |   8 |   5 |  __ |     __ |      __ |       __ | 
 355 | 0.090 | 0.060 | 0.029 |  4.461 |   8 |   4 |   6 |  4.620 | 0.46831 |  5.08797 | 
 356 | 0.794 | 0.208 | 0.003 |  4.464 |   8 |   5 |  __ |     __ |      __ |       __ | 
 357 | 0.524 | 0.933 | 0.008 |  4.471 |   8 |   5 |  __ |     __ |      __ |       __ | 
 358 | 0.679 | 0.855 | 0.005 |  4.476 |   8 |   5 |  __ |     __ |      __ |       __ | 
 359 | 0.239 | 0.515 | 0.017 |  4.494 |   8 |   3 |   1 |  4.648 | 0.11070 |  4.75844 | 
 360 | 0.250 | 0.806 | 0.017 |  4.511 |   8 |   4 |   2 |  4.649 | 0.03588 |  4.68460 | 
 361 | 0.487 | 0.484 | 0.009 |  4.519 |   8 |   5 |  __ |     __ |      __ |       __ | 
 362 | 0.888 | 0.843 | 0.001 |  4.521 |   8 |   5 |  __ |     __ |      __ |       __ | 
 363 | 0.894 | 0.104 | 0.001 |  4.522 |   8 |   5 |  __ |     __ |      __ |       __ | 
 364 | 0.090 | 0.359 | 0.029 |  4.551 |   8 |   5 |  __ |     __ |      __ |       __ | 
 365 | 0.379 | 0.761 | 0.012 |  4.563 |   8 |   5 |  __ |     __ |      __ |       __ | 
 366 | 0.705 | 0.646 | 0.004 |  4.568 |   8 |   5 |  __ |     __ |      __ |       __ | 
 367 | 0.299 | 0.479 | 0.015 |  4.582 |   8 |   3 |   2 |  4.685 | 0.12283 |  4.80743 | 
 368 | 0.395 | 0.112 | 0.011 |  4.594 |   8 |   4 |   7 |  4.696 | 0.36537 |  5.06160 | 
 369 | 0.867 | 0.846 | 0.002 |  4.595 |   8 |   5 |  __ |     __ |      __ |       __ | 
 370 | 0.825 | 0.622 | 0.002 |  4.598 |   8 |   5 |  __ |     __ |      __ |       __ | 
 371 | 0.579 | 0.312 | 0.007 |  4.604 |   8 |   5 |  __ |     __ |      __ |       __ | 
 372 | 0.361 | 0.710 | 0.012 |  4.617 |   8 |   5 |  __ |     __ |      __ |       __ | 
 373 | 0.204 | 0.154 | 0.019 |  4.636 |   8 |   4 |   3 |  4.715 | 0.31230 |  5.02689 | 
 374 | 0.344 | 0.652 | 0.013 |  4.649 |   8 |   3 |   1 |  4.758 | 0.07118 |  4.82963 | 
 375 | 0.917 | 0.734 | 0.001 |  4.650 |   8 |   4 |   8 |  4.799 | 0.05143 |  4.85075 | 
 376 | 0.923 | 0.013 | 0.001 |  4.651 |   8 |   5 |  __ |     __ |      __ |       __ | 
 377 | 0.458 | 0.271 | 0.010 |  4.661 |   8 |   5 |  __ |     __ |      __ |       __ | 
 378 | 0.001 | 0.467 | 0.089 |  4.749 |   8 |   2 |   2 |  4.807 | 0.12705 |  4.93448 | 
 379 | 0.878 | 0.881 | 0.002 |  4.751 |   8 |   3 |   1 |  4.830 | 0.02110 |  4.85073 | 
 380 | 0.164 | 0.423 | 0.022 |  4.773 |   8 |   3 |   5 |  4.831 | 0.14346 |  4.97434 | 
 381 | 0.366 | 0.250 | 0.012 |  4.785 |   8 |   4 |   1 |  4.851 | 0.23123 |  5.08195 | 
 382 | 0.854 | 0.913 | 0.002 |  4.787 |   8 |   5 |  __ |     __ |      __ |       __ | 
 383 | 0.809 | 0.298 | 0.003 |  4.790 |   8 |   5 |  __ |     __ |      __ |       __ | 
 384 | 0.119 | 0.663 | 0.026 |  4.816 |   8 |   3 |   8 |  4.851 | 0.06848 |  4.91922 | 
 385 | 0.311 | 0.485 | 0.014 |  4.830 |   8 |   3 |   4 |  4.876 | 0.12067 |  4.99656 | 
 386 | 0.750 | 0.373 | 0.004 |  4.833 |   8 |   3 |   8 |  4.919 | 0.16454 |  5.08377 | 
 387 | 0.909 | 0.109 | 0.001 |  4.834 |   8 |   4 |   2 |  4.934 | 0.37008 |  5.30456 | 
 388 | 0.015 | 0.983 | 0.051 |  4.885 |   8 |   2 |   5 |  4.974 | 0.00286 |  4.97720 | 
 389 | 0.590 | 0.957 | 0.006 |  4.892 |   8 |   3 |   5 |  4.977 | 0.00726 |  4.98446 | 
 390 | 0.372 | 0.665 | 0.012 |  4.904 |   8 |   4 |   5 |  4.984 | 0.06808 |  5.05254 | 
 391 | 0.297 | 0.814 | 0.015 |  4.919 |   8 |   5 |  __ |     __ |      __ |       __ | 
 392 | 0.878 | 0.678 | 0.002 |  4.920 |   8 |   4 |   4 |  4.997 | 0.06478 |  5.06134 | 
 393 | 0.236 | 0.711 | 0.018 |  4.938 |   8 |   4 |   3 |  5.027 | 0.05675 |  5.08364 | 
 394 | 0.737 | 0.393 | 0.004 |  4.942 |   8 |   5 |  __ |     __ |      __ |       __ | 
 395 | 0.743 | 0.812 | 0.004 |  4.945 |   8 |   5 |  __ |     __ |      __ |       __ | 
 396 | 0.244 | 0.289 | 0.017 |  4.963 |   8 |   5 |  __ |     __ |      __ |       __ | 
 397 | 0.342 | 0.871 | 0.013 |  4.976 |   8 |   4 |   5 |  5.053 | 0.02303 |  5.07556 | 
 398 | 0.412 | 0.809 | 0.011 |  4.986 |   8 |   3 |   4 |  5.061 | 0.03523 |  5.09657 | 
 399 | 0.711 | 0.262 | 0.004 |  4.991 |   8 |   4 |   7 |  5.062 | 0.22320 |  5.28480 | 
 400 | 0.996 | 0.104 | 0.000 |  4.991 |   8 |   5 |  __ |     __ |      __ |       __ | 
 401 | 0.725 | 0.002 | 0.004 |  4.995 |   7 |   5 |  __ |     __ |      __ |       __ | 
 402 | 0.823 | 0.444 | 0.002 |  4.997 |   7 |   4 |   5 |  5.076 | 0.13536 |  5.21093 | 
 403 | 0.697 | 0.626 | 0.004 |  5.001 |   7 |   5 |  __ |     __ |      __ |       __ | 
 404 | 0.776 | 0.453 | 0.003 |  5.004 |   7 |   5 |  __ |     __ |      __ |       __ | 
 405 | 0.163 | 0.648 | 0.022 |  5.027 |   7 |   5 |  __ |     __ |      __ |       __ | 
 406 | 0.068 | 0.114 | 0.033 |  5.059 |   7 |   3 |   1 |  5.082 | 0.36257 |  5.44452 | 
 407 | 0.288 | 0.752 | 0.015 |  5.075 |   7 |   2 |   3 |  5.084 | 0.04746 |  5.13110 | 
 408 | 0.350 | 0.270 | 0.013 |  5.087 |   7 |   0 |   6 |  5.088 | 0.21826 |  5.30623 | 
 409 | 0.916 | 0.501 | 0.001 |  5.088 |   7 |   0 |   4 |  5.097 | 0.11525 |  5.21182 | 
 410 | 0.938 | 0.779 | 0.001 |  5.089 |   7 |   1 |   3 |  5.131 | 0.04171 |  5.17280 | 
 411 | 0.400 | 0.695 | 0.011 |  5.100 |   7 |   1 |   3 |  5.173 | 0.06076 |  5.23356 | 
 412 | 0.024 | 0.327 | 0.045 |  5.146 |   7 |   1 |   5 |  5.211 | 0.18614 |  5.39707 | 
 413 | 0.746 | 0.390 | 0.004 |  5.149 |   7 |   2 |   4 |  5.212 | 0.15704 |  5.36886 | 
 414 | 0.886 | 0.087 | 0.001 |  5.151 |   7 |   3 |   3 |  5.234 | 0.40649 |  5.64005 | 
 415 | 0.207 | 0.749 | 0.019 |  5.170 |   7 |   4 |   7 |  5.285 | 0.04814 |  5.33294 | 
 416 | 0.804 | 0.725 | 0.003 |  5.173 |   7 |   5 |  __ |     __ |      __ |       __ | 
 417 | 0.872 | 0.848 | 0.002 |  5.174 |   7 |   4 |   2 |  5.305 | 0.02739 |  5.33195 | 
 418 | 0.792 | 0.185 | 0.003 |  5.177 |   7 |   5 |  __ |     __ |      __ |       __ | 
 419 | 0.223 | 0.974 | 0.018 |  5.195 |   7 |   5 |  __ |     __ |      __ |       __ | 
 420 | 0.186 | 0.029 | 0.020 |  5.216 |   7 |   3 |   6 |  5.306 | 0.58785 |  5.89409 | 
 421 | 0.610 | 0.930 | 0.006 |  5.222 |   7 |   4 |   2 |  5.332 | 0.01209 |  5.34404 | 
 422 | 0.453 | 0.909 | 0.010 |  5.232 |   7 |   5 |  __ |     __ |      __ |       __ | 
 423 | 0.900 | 0.737 | 0.001 |  5.233 |   7 |   5 |  __ |     __ |      __ |       __ | 
 424 | 0.456 | 0.080 | 0.010 |  5.242 |   7 |   4 |   7 |  5.333 | 0.42060 |  5.75353 | 
 425 | 0.465 | 0.050 | 0.009 |  5.252 |   7 |   5 |  __ |     __ |      __ |       __ | 
 426 | 0.661 | 0.642 | 0.005 |  5.257 |   7 |   5 |  __ |     __ |      __ |       __ | 
 427 | 0.589 | 0.489 | 0.006 |  5.263 |   7 |   5 |  __ |     __ |      __ |       __ | 
 428 | 0.628 | 0.163 | 0.006 |  5.269 |   7 |   5 |  __ |     __ |      __ |       __ | 
 429 | 0.912 | 0.163 | 0.001 |  5.270 |   7 |   5 |  __ |     __ |      __ |       __ | 
 430 | 0.837 | 0.826 | 0.002 |  5.272 |   7 |   5 |  __ |     __ |      __ |       __ | 
 431 | 0.039 | 0.050 | 0.040 |  5.312 |   7 |   2 |   2 |  5.344 | 0.49801 |  5.84204 | 
 432 | 0.113 | 0.702 | 0.027 |  5.338 |   7 |   1 |   4 |  5.369 | 0.05907 |  5.42793 | 
 433 | 0.400 | 0.191 | 0.011 |  5.350 |   7 |   1 |   5 |  5.397 | 0.27563 |  5.67270 | 
 434 | 0.371 | 0.415 | 0.012 |  5.362 |   7 |   2 |   4 |  5.428 | 0.14647 |  5.57440 | 
 435 | 0.196 | 0.074 | 0.020 |  5.382 |   7 |   2 |   1 |  5.445 | 0.43297 |  5.87750 | 
 436 | 0.862 | 0.445 | 0.002 |  5.383 |   7 |   3 |   4 |  5.574 | 0.13506 |  5.70946 | 
 437 | 0.326 | 0.402 | 0.014 |  5.397 |   7 |   3 |   3 |  5.640 | 0.15185 |  5.79190 | 
 438 | 0.825 | 0.353 | 0.002 |  5.399 |   7 |   4 |   5 |  5.673 | 0.17366 |  5.84636 | 
 439 | 0.169 | 0.858 | 0.022 |  5.421 |   7 |   5 |  __ |     __ |      __ |       __ | 
 440 | 0.917 | 0.262 | 0.001 |  5.422 |   7 |   5 |  __ |     __ |      __ |       __ | 
 441 | 0.021 | 0.723 | 0.047 |  5.469 |   7 |   3 |   4 |  5.709 | 0.05408 |  5.76355 | 
 442 | 0.400 | 0.112 | 0.011 |  5.480 |   7 |   4 |   7 |  5.754 | 0.36510 |  6.11863 | 
 443 | 0.133 | 0.434 | 0.025 |  5.505 |   7 |   5 |  __ |     __ |      __ |       __ | 
 444 | 0.069 | 0.725 | 0.033 |  5.538 |   7 |   5 |  __ |     __ |      __ |       __ | 
 445 | 0.032 | 0.590 | 0.042 |  5.580 |   7 |   4 |   4 |  5.764 | 0.08799 |  5.85153 | 
 446 | 0.728 | 0.990 | 0.004 |  5.584 |   7 |   5 |  __ |     __ |      __ |       __ | 
 447 | 0.883 | 0.174 | 0.002 |  5.585 |   7 |   5 |  __ |     __ |      __ |       __ | 
 448 | 0.851 | 0.599 | 0.002 |  5.587 |   7 |   5 |  __ |     __ |      __ |       __ | 
 449 | 0.716 | 0.192 | 0.004 |  5.591 |   7 |   5 |  __ |     __ |      __ |       __ | 
 450 | 0.627 | 0.392 | 0.006 |  5.597 |   7 |   5 |  __ |     __ |      __ |       __ | 
 451 | 0.191 | 0.663 | 0.020 |  5.617 |   7 |   5 |  __ |     __ |      __ |       __ | 
 452 | 0.215 | 0.085 | 0.019 |  5.636 |   7 |   5 |  __ |     __ |      __ |       __ | 
 453 | 0.644 | 0.708 | 0.005 |  5.641 |   7 |   4 |   3 |  5.792 | 0.05762 |  5.84953 | 
 454 | 0.881 | 0.386 | 0.002 |  5.643 |   7 |   5 |  __ |     __ |      __ |       __ | 
 455 | 0.566 | 0.529 | 0.007 |  5.650 |   7 |   5 |  __ |     __ |      __ |       __ | 
 456 | 0.779 | 0.815 | 0.003 |  5.653 |   7 |   5 |  __ |     __ |      __ |       __ | 
 457 | 0.259 | 0.703 | 0.016 |  5.669 |   7 |   5 |  __ |     __ |      __ |       __ | 
 458 | 0.915 | 0.334 | 0.001 |  5.670 |   7 |   5 |  __ |     __ |      __ |       __ | 
 459 | 0.854 | 0.821 | 0.002 |  5.672 |   7 |   5 |  __ |     __ |      __ |       __ | 
 460 | 0.925 | 0.588 | 0.001 |  5.673 |   7 |   4 |   2 |  5.842 | 0.08859 |  5.93064 | 
 461 | 0.103 | 0.577 | 0.028 |  5.701 |   7 |   5 |  __ |     __ |      __ |       __ | 
 462 | 0.504 | 0.775 | 0.008 |  5.709 |   7 |   5 |  __ |     __ |      __ |       __ | 
 463 | 0.647 | 0.537 | 0.005 |  5.714 |   7 |   4 |   5 |  5.846 | 0.10356 |  5.94992 | 
 464 | 0.057 | 0.868 | 0.035 |  5.749 |   7 |   5 |  __ |     __ |      __ |       __ | 
 465 | 0.386 | 0.963 | 0.012 |  5.761 |   7 |   4 |   3 |  5.850 | 0.00631 |  5.85584 | 
 466 | 0.708 | 0.556 | 0.004 |  5.765 |   7 |   4 |   4 |  5.852 | 0.09783 |  5.94936 | 
 467 | 0.286 | 0.712 | 0.015 |  5.780 |   7 |   5 |  __ |     __ |      __ |       __ | 
 468 | 0.732 | 0.975 | 0.004 |  5.784 |   7 |   5 |  __ |     __ |      __ |       __ | 
 469 | 0.284 | 0.063 | 0.015 |  5.800 |   7 |   4 |   3 |  5.856 | 0.46152 |  6.31737 | 
