   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
  53 | 0.781 | 0.399 | 0.003 |  0.553 |   8 |   5 |  __ |     __ |      __ |       __ | 
  54 | 0.147 | 0.984 | 0.023 |  0.576 |   8 |   4 |   3 |  0.658 | 0.00269 |  0.66060 | 
  55 | 0.454 | 0.137 | 0.010 |  0.586 |   8 |   5 |  __ |     __ |      __ |       __ | 
  56 | 0.059 | 0.630 | 0.035 |  0.621 |   8 |   3 |   7 |  0.659 | 0.07706 |  0.73566 | 
  57 | 0.646 | 0.199 | 0.005 |  0.626 |   8 |   4 |   3 |  0.661 | 0.26927 |  0.92987 | 
  58 | 0.627 | 0.558 | 0.006 |  0.632 |   8 |   5 |  __ |     __ |      __ |       __ | 
  59 | 0.180 | 0.967 | 0.021 |  0.653 |   8 |   3 |   2 |  0.680 | 0.00566 |  0.68609 | 
  60 | 0.896 | 0.285 | 0.001 |  0.654 |   8 |   4 |   2 |  0.686 | 0.20949 |  0.89558 | 
  61 | 0.267 | 0.081 | 0.016 |  0.670 |   8 |   2 |   7 |  0.736 | 0.41971 |  1.15537 | 
  62 | 0.661 | 0.843 | 0.005 |  0.675 |   8 |   3 |   5 |  0.762 | 0.02850 |  0.79042 | 
  63 | 0.864 | 0.563 | 0.002 |  0.677 |   8 |   4 |   5 |  0.790 | 0.09579 |  0.88621 | 
  64 | 0.101 | 0.437 | 0.028 |  0.705 |   8 |   3 |   5 |  0.886 | 0.13807 |  1.02427 | 
  65 | 0.011 | 0.244 | 0.055 |  0.759 |   8 |   3 |   2 |  0.896 | 0.23481 |  1.13039 | 
  66 | 0.101 | 0.417 | 0.028 |  0.787 |   8 |   3 |   8 |  0.902 | 0.14559 |  1.04799 | 
  67 | 0.824 | 0.523 | 0.002 |  0.790 |   8 |   4 |   1 |  0.910 | 0.10799 |  1.01838 | 
  68 | 0.724 | 0.521 | 0.004 |  0.794 |   8 |   4 |   6 |  0.930 | 0.10875 |  1.03826 | 
  69 | 0.038 | 0.557 | 0.040 |  0.833 |   8 |   5 |  __ |     __ |      __ |       __ | 
  70 | 0.313 | 0.577 | 0.014 |  0.847 |   8 |   5 |  __ |     __ |      __ |       __ | 
  71 | 0.212 | 0.716 | 0.019 |  0.866 |   8 |   5 |  __ |     __ |      __ |       __ | 
  72 | 0.993 | 0.591 | 0.000 |  0.866 |   8 |   5 |  __ |     __ |      __ |       __ | 
  73 | 0.124 | 0.711 | 0.026 |  0.892 |   8 |   4 |   3 |  0.930 | 0.05684 |  0.98670 | 
