 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
53 | 0.952 | 0.611 | 0.001 | 0.574 |   8 |   5 |  __ |  __ |  __ |  __ | 
54 | 0.201 | 0.373 | 0.020 | 0.594 |   8 |   5 |  __ |  __ |  __ |  __ | 
55 | 0.097 | 0.019 | 0.028 | 0.622 |   8 |   4 |   1 | 0.770 | 0.66205 | 1.43197 | 
56 | 0.545 | 0.373 | 0.007 | 0.630 |   8 |   5 |  __ |  __ |  __ |  __ | 
57 | 0.810 | 0.314 | 0.003 | 0.632 |   8 |   5 |  __ |  __ |  __ |  __ | 
58 | 0.630 | 0.370 | 0.006 | 0.638 |   8 |   5 |  __ |  __ |  __ |  __ | 
59 | 0.558 | 0.363 | 0.007 | 0.645 |   8 |   5 |  __ |  __ |  __ |  __ | 
60 | 0.930 | 0.093 | 0.001 | 0.646 |   8 |   5 |  __ |  __ |  __ |  __ | 
61 | 0.432 | 0.078 | 0.010 | 0.656 |   8 |   5 |  __ |  __ |  __ |  __ | 
62 | 0.278 | 0.332 | 0.016 | 0.672 |   8 |   5 |  __ |  __ |  __ |  __ | 
63 | 0.998 | 0.875 | 0.000 | 0.672 |   8 |   5 |  __ |  __ |  __ |  __ | 
64 | 0.467 | 0.045 | 0.009 | 0.681 |   8 |   5 |  __ |  __ |  __ |  __ | 
65 | 0.000 | 0.205 | 0.127 | 0.808 |   8 |   0 |   5 | 0.848 | 0.26428 | 1.11189 | 
66 | 0.020 | 0.245 | 0.048 | 0.856 |   8 |   0 |   8 | 0.874 | 0.23468 | 1.10905 | 
67 | 0.603 | 0.952 | 0.006 | 0.862 |   8 |   1 |   7 | 0.885 | 0.00814 | 0.89302 | 
68 | 0.291 | 0.789 | 0.015 | 0.877 |   8 |   1 |   7 | 0.893 | 0.03958 | 0.93259 | 
69 | 0.361 | 0.596 | 0.012 | 0.890 |   8 |   1 |   6 | 0.916 | 0.08619 | 1.00225 | 
70 | 0.419 | 0.323 | 0.011 | 0.900 |   8 |   1 |   7 | 0.933 | 0.18839 | 1.12099 | 
71 | 0.304 | 0.281 | 0.015 | 0.915 |   8 |   2 |   4 | 0.945 | 0.21147 | 1.15686 | 
72 | 0.580 | 0.581 | 0.007 | 0.921 |   8 |   2 |   6 | 1.002 | 0.09045 | 1.09270 | 
73 | 0.118 | 0.811 | 0.026 | 0.947 |   8 |   1 |   2 | 1.016 | 0.03490 | 1.05042 | 
74 | 0.966 | 0.979 | 0.000 | 0.948 |   8 |   2 |   2 | 1.050 | 0.00360 | 1.05402 | 
75 | 0.602 | 0.467 | 0.006 | 0.954 |   8 |   3 |   2 | 1.054 | 0.12707 | 1.18109 | 
76 | 0.521 | 0.859 | 0.008 | 0.962 |   8 |   4 |   6 | 1.093 | 0.02527 | 1.11797 | 
77 | 0.987 | 0.023 | 0.000 | 0.962 |   8 |   5 |  __ |  __ |  __ |  __ | 
78 | 0.635 | 0.707 | 0.006 | 0.968 |   8 |   5 |  __ |  __ |  __ |  __ | 
79 | 0.733 | 0.760 | 0.004 | 0.971 |   8 |   5 |  __ |  __ |  __ |  __ | 
80 | 0.728 | 0.238 | 0.004 | 0.975 |   8 |   5 |  __ |  __ |  __ |  __ | 
81 | 0.412 | 0.064 | 0.011 | 0.986 |   8 |   5 |  __ |  __ |  __ |  __ | 
82 | 0.437 | 0.920 | 0.010 | 0.996 |   8 |   5 |  __ |  __ |  __ |  __ | 
83 | 0.378 | 0.856 | 0.012 | 1.008 |   8 |   4 |   8 | 1.109 | 0.02591 | 1.13497 | 
84 | 0.736 | 0.859 | 0.004 | 1.012 |   8 |   5 |  __ |  __ |  __ |  __ | 
85 | 0.689 | 0.851 | 0.005 | 1.016 |   8 |   4 |   5 | 1.112 | 0.02684 | 1.13873 | 
86 | 0.714 | 0.782 | 0.004 | 1.021 |   8 |   5 |  __ |  __ |  __ |  __ | 
87 | 0.705 | 0.451 | 0.004 | 1.025 |   8 |   5 |  __ |  __ |  __ |  __ | 
88 | 0.586 | 0.461 | 0.007 | 1.031 |   8 |   5 |  __ |  __ |  __ |  __ | 
89 | 0.898 | 0.322 | 0.001 | 1.033 |   8 |   5 |  __ |  __ |  __ |  __ | 
90 | 0.405 | 0.502 | 0.011 | 1.044 |   8 |   5 |  __ |  __ |  __ |  __ | 
91 | 0.524 | 0.926 | 0.008 | 1.052 |   8 |   4 |   6 | 1.118 | 0.01286 | 1.13084 | 
92 | 0.050 | 0.807 | 0.037 | 1.088 |   8 |   4 |   7 | 1.121 | 0.03571 | 1.15670 | 
93 | 0.219 | 0.771 | 0.019 | 1.107 |   8 |   4 |   6 | 1.131 | 0.04344 | 1.17428 | 
94 | 0.454 | 0.969 | 0.010 | 1.116 |   8 |   3 |   8 | 1.135 | 0.00529 | 1.14026 | 
95 | 0.674 | 0.242 | 0.005 | 1.121 |   8 |   2 |   5 | 1.139 | 0.23665 | 1.37538 | 
96 | 0.815 | 0.986 | 0.002 | 1.124 |   8 |   3 |   8 | 1.140 | 0.00229 | 1.14255 | 
97 | 0.243 | 0.773 | 0.017 | 1.141 |   8 |   0 |   8 | 1.143 | 0.04283 | 1.18538 | 
98 | 0.444 | 0.161 | 0.010 | 1.151 |   8 |   0 |   7 | 1.157 | 0.30434 | 1.46104 | 
99 | 0.291 | 0.650 | 0.015 | 1.166 |   7 |   0 |   4 | 1.166 | 0.07192 | 1.23766 | 
100 | 0.537 | 0.642 | 0.008 | 1.173 |   8 |   0 |   6 | 1.174 | 0.07375 | 1.24802 | 
101 | 0.335 | 0.579 | 0.013 | 1.187 |   6 |   0 |   2 | 1.187 | 0.09105 | 1.27770 | 
102 | 0.116 | 0.849 | 0.026 | 1.213 |   7 |   0 |   8 | 1.213 | 0.02727 | 1.24020 | 
103 | 0.747 | 0.671 | 0.004 | 1.216 |   8 |   0 |   4 | 1.238 | 0.06648 | 1.30414 | 
104 | 0.684 | 0.533 | 0.005 | 1.221 |   8 |   1 |   8 | 1.240 | 0.10472 | 1.34492 | 
105 | 0.259 | 0.792 | 0.016 | 1.238 |   8 |   2 |   3 | 1.240 | 0.03891 | 1.27938 | 
106 | 0.867 | 0.589 | 0.002 | 1.239 |   8 |   2 |   6 | 1.248 | 0.08819 | 1.33622 | 
