 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
237 | 0.237 | 0.717 | 0.018 | 2.789 |   8 |   3 |   6 | 2.835 | 0.05542 | 2.89028 | 
238 | 0.586 | 0.724 | 0.007 | 2.796 |   8 |   4 |   7 | 2.845 | 0.05376 | 2.89865 | 
239 | 0.659 | 0.595 | 0.005 | 2.801 |   8 |   5 |  __ |  __ |  __ |  __ | 
240 | 0.277 | 0.379 | 0.016 | 2.816 |   8 |   4 |   1 | 2.858 | 0.16154 | 3.01970 | 
241 | 0.748 | 0.113 | 0.004 | 2.820 |   8 |   5 |  __ |  __ |  __ |  __ | 
242 | 0.856 | 0.062 | 0.002 | 2.822 |   8 |   4 |   4 | 2.876 | 0.46283 | 3.33841 | 
243 | 0.116 | 0.003 | 0.026 | 2.848 |   8 |   2 |   6 | 2.890 | 0.97388 | 3.86417 | 
244 | 0.189 | 0.243 | 0.020 | 2.868 |   8 |   2 |   3 | 2.890 | 0.23581 | 3.12626 | 
245 | 0.410 | 0.174 | 0.011 | 2.879 |   8 |   2 |   7 | 2.899 | 0.29158 | 3.19023 | 
246 | 0.666 | 0.643 | 0.005 | 2.884 |   8 |   3 |   8 | 2.963 | 0.07359 | 3.03666 | 
247 | 0.912 | 0.822 | 0.001 | 2.885 |   8 |   4 |   5 | 2.987 | 0.03262 | 3.01930 | 
248 | 0.011 | 0.528 | 0.055 | 2.940 |   8 |   2 |   5 | 3.019 | 0.10646 | 3.12576 | 
249 | 0.352 | 0.479 | 0.013 | 2.953 |   8 |   3 |   2 | 3.019 | 0.12266 | 3.14211 | 
250 | 0.525 | 0.430 | 0.008 | 2.961 |   8 |   4 |   1 | 3.020 | 0.14060 | 3.16030 | 
251 | 0.385 | 0.731 | 0.012 | 2.972 |   8 |   4 |   8 | 3.037 | 0.05232 | 3.08898 | 
252 | 0.049 | 0.155 | 0.037 | 3.009 |   8 |   4 |   8 | 3.089 | 0.31065 | 3.39963 | 
253 | 0.248 | 0.499 | 0.017 | 3.026 |   8 |   2 |   5 | 3.126 | 0.11592 | 3.24168 | 
254 | 0.773 | 0.394 | 0.003 | 3.029 |   8 |   3 |   3 | 3.126 | 0.15517 | 3.28143 | 
255 | 0.463 | 0.327 | 0.009 | 3.039 |   8 |   3 |   2 | 3.142 | 0.18642 | 3.32854 | 
256 | 0.409 | 0.250 | 0.011 | 3.050 |   8 |   4 |   1 | 3.160 | 0.23074 | 3.39104 | 
257 | 0.126 | 0.661 | 0.025 | 3.075 |   8 |   5 |  __ |  __ |  __ |  __ | 
258 | 0.484 | 0.008 | 0.009 | 3.084 |   8 |   5 |  __ |  __ |  __ |  __ | 
259 | 0.248 | 0.970 | 0.017 | 3.101 |   8 |   4 |   7 | 3.190 | 0.00501 | 3.19524 | 
260 | 0.783 | 0.941 | 0.003 | 3.104 |   8 |   5 |  __ |  __ |  __ |  __ | 
261 | 0.273 | 0.315 | 0.016 | 3.120 |   8 |   5 |  __ |  __ |  __ |  __ | 
262 | 0.538 | 0.362 | 0.008 | 3.127 |   8 |   3 |   7 | 3.195 | 0.16933 | 3.36457 | 
263 | 0.843 | 0.727 | 0.002 | 3.129 |   8 |   4 |   5 | 3.242 | 0.05321 | 3.29489 | 
264 | 0.149 | 0.889 | 0.023 | 3.152 |   8 |   4 |   3 | 3.281 | 0.01963 | 3.30106 | 
265 | 0.190 | 0.138 | 0.020 | 3.173 |   8 |   4 |   5 | 3.295 | 0.32975 | 3.62464 | 
266 | 0.723 | 0.296 | 0.004 | 3.177 |   8 |   5 |  __ |  __ |  __ |  __ | 
267 | 0.530 | 0.828 | 0.008 | 3.184 |   8 |   5 |  __ |  __ |  __ |  __ | 
268 | 0.565 | 0.632 | 0.007 | 3.191 |   8 |   4 |   3 | 3.301 | 0.07652 | 3.37758 | 
269 | 0.188 | 0.520 | 0.020 | 3.212 |   8 |   4 |   2 | 3.329 | 0.10891 | 3.43744 | 
270 | 0.705 | 0.938 | 0.004 | 3.216 |   8 |   5 |  __ |  __ |  __ |  __ | 
271 | 0.122 | 0.864 | 0.026 | 3.242 |   8 |   4 |   4 | 3.338 | 0.02436 | 3.36277 | 
272 | 0.864 | 0.791 | 0.002 | 3.243 |   8 |   5 |  __ |  __ |  __ |  __ | 
273 | 0.943 | 0.102 | 0.001 | 3.244 |   8 |   5 |  __ |  __ |  __ |  __ | 
274 | 0.495 | 0.130 | 0.009 | 3.253 |   8 |   5 |  __ |  __ |  __ |  __ | 
275 | 0.327 | 0.698 | 0.014 | 3.266 |   8 |   5 |  __ |  __ |  __ |  __ | 
276 | 0.651 | 0.292 | 0.005 | 3.272 |   8 |   5 |  __ |  __ |  __ |  __ | 
277 | 0.810 | 0.640 | 0.003 | 3.274 |   8 |   5 |  __ |  __ |  __ |  __ | 
278 | 0.872 | 0.612 | 0.002 | 3.276 |   8 |   5 |  __ |  __ |  __ |  __ | 
279 | 0.272 | 0.915 | 0.016 | 3.292 |   8 |   4 |   4 | 3.363 | 0.01483 | 3.37760 | 
280 | 0.946 | 0.430 | 0.001 | 3.292 |   8 |   5 |  __ |  __ |  __ |  __ | 
281 | 0.113 | 0.534 | 0.027 | 3.319 |   8 |   3 |   7 | 3.365 | 0.10468 | 3.46925 | 
282 | 0.853 | 0.610 | 0.002 | 3.321 |   8 |   4 |   3 | 3.378 | 0.08236 | 3.45994 | 
283 | 0.531 | 0.182 | 0.008 | 3.329 |   8 |   4 |   4 | 3.378 | 0.28381 | 3.66141 | 
284 | 0.966 | 0.467 | 0.000 | 3.329 |   8 |   5 |  __ |  __ |  __ |  __ | 
285 | 0.206 | 0.134 | 0.019 | 3.348 |   8 |   4 |   1 | 3.391 | 0.33445 | 3.72548 | 
286 | 0.435 | 0.542 | 0.010 | 3.358 |   8 |   5 |  __ |  __ |  __ |  __ | 
287 | 0.398 | 0.419 | 0.011 | 3.370 |   8 |   3 |   8 | 3.400 | 0.14489 | 3.54452 | 
288 | 0.224 | 0.308 | 0.018 | 3.388 |   8 |   2 |   2 | 3.437 | 0.19646 | 3.63390 | 
289 | 0.732 | 0.641 | 0.004 | 3.392 |   8 |   2 |   3 | 3.460 | 0.07414 | 3.53408 | 
290 | 0.902 | 0.986 | 0.001 | 3.393 |   8 |   3 |   7 | 3.469 | 0.00229 | 3.47155 | 
291 | 0.425 | 0.051 | 0.010 | 3.403 |   8 |   3 |   7 | 3.472 | 0.49680 | 3.96835 | 
292 | 0.695 | 0.986 | 0.004 | 3.408 |   8 |   4 |   3 | 3.534 | 0.00239 | 3.53647 | 
293 | 0.859 | 0.758 | 0.002 | 3.410 |   8 |   5 |  __ |  __ |  __ |  __ | 
294 | 0.849 | 0.761 | 0.002 | 3.412 |   8 |   5 |  __ |  __ |  __ |  __ | 
295 | 0.997 | 0.249 | 0.000 | 3.412 |   8 |   5 |  __ |  __ |  __ |  __ | 
296 | 0.027 | 0.202 | 0.044 | 3.456 |   8 |   4 |   3 | 3.536 | 0.26688 | 3.80335 | 
297 | 0.792 | 0.251 | 0.003 | 3.459 |   8 |   5 |  __ |  __ |  __ |  __ | 
298 | 0.048 | 0.588 | 0.037 | 3.496 |   8 |   2 |   8 | 3.545 | 0.08864 | 3.63316 | 
299 | 0.812 | 0.859 | 0.003 | 3.499 |   8 |   3 |   5 | 3.625 | 0.02524 | 3.64987 | 
300 | 0.546 | 0.033 | 0.007 | 3.506 |   8 |   4 |   8 | 3.633 | 0.56952 | 4.20268 | 
301 | 0.631 | 0.566 | 0.006 | 3.512 |   8 |   5 |  __ |  __ |  __ |  __ | 
302 | 0.378 | 0.678 | 0.012 | 3.523 |   8 |   5 |  __ |  __ |  __ |  __ | 
303 | 0.180 | 0.490 | 0.021 | 3.544 |   8 |   3 |   2 | 3.634 | 0.11884 | 3.75274 | 
304 | 0.354 | 0.698 | 0.013 | 3.557 |   8 |   3 |   5 | 3.650 | 0.05997 | 3.70984 | 
305 | 0.657 | 0.420 | 0.005 | 3.562 |   8 |   4 |   4 | 3.661 | 0.14440 | 3.80581 | 
306 | 0.246 | 0.305 | 0.017 | 3.579 |   8 |   5 |  __ |  __ |  __ |  __ | 
307 | 0.138 | 0.040 | 0.024 | 3.603 |   8 |   5 |  __ |  __ |  __ |  __ | 
308 | 0.451 | 0.368 | 0.010 | 3.613 |   8 |   5 |  __ |  __ |  __ |  __ | 
309 | 0.207 | 0.377 | 0.019 | 3.632 |   8 |   4 |   5 | 3.710 | 0.16253 | 3.87238 | 
310 | 0.462 | 0.041 | 0.009 | 3.642 |   8 |   3 |   1 | 3.725 | 0.53143 | 4.25691 | 
311 | 0.048 | 0.461 | 0.037 | 3.679 |   8 |   2 |   2 | 3.753 | 0.12898 | 3.88172 | 
312 | 0.638 | 0.706 | 0.005 | 3.684 |   8 |   3 |   3 | 3.803 | 0.05801 | 3.86136 | 
313 | 0.565 | 0.226 | 0.007 | 3.691 |   8 |   4 |   4 | 3.806 | 0.24756 | 4.05338 | 
314 | 0.253 | 0.041 | 0.017 | 3.708 |   8 |   5 |  __ |  __ |  __ |  __ | 
315 | 0.011 | 0.241 | 0.055 | 3.763 |   8 |   2 |   3 | 3.861 | 0.23728 | 4.09865 | 
316 | 0.421 | 0.396 | 0.011 | 3.774 |   8 |   3 |   6 | 3.864 | 0.15448 | 4.01864 | 
317 | 0.026 | 0.588 | 0.044 | 3.818 |   8 |   2 |   5 | 3.872 | 0.08859 | 3.96097 | 
318 | 0.133 | 0.043 | 0.025 | 3.843 |   8 |   3 |   2 | 3.882 | 0.52585 | 4.40757 | 
319 | 0.447 | 0.321 | 0.010 | 3.853 |   8 |   4 |   5 | 3.961 | 0.18931 | 4.15028 | 
320 | 0.785 | 0.213 | 0.003 | 3.856 |   8 |   5 |  __ |  __ |  __ |  __ | 
321 | 0.647 | 0.335 | 0.005 | 3.861 |   8 |   5 |  __ |  __ |  __ |  __ | 
322 | 0.122 | 0.189 | 0.026 | 3.887 |   8 |   1 |   7 | 3.968 | 0.27788 | 4.24623 | 
323 | 0.847 | 0.580 | 0.002 | 3.889 |   8 |   2 |   6 | 4.019 | 0.09065 | 4.10929 | 
324 | 0.397 | 0.278 | 0.011 | 3.900 |   8 |   3 |   4 | 4.053 | 0.21307 | 4.26644 | 
325 | 0.501 | 0.348 | 0.008 | 3.908 |   8 |   4 |   3 | 4.099 | 0.17613 | 4.27478 | 
326 | 0.515 | 0.898 | 0.008 | 3.916 |   8 |   5 |  __ |  __ |  __ |  __ | 
327 | 0.617 | 0.517 | 0.006 | 3.922 |   8 |   5 |  __ |  __ |  __ |  __ | 
328 | 0.159 | 0.785 | 0.022 | 3.945 |   8 |   5 |  __ |  __ |  __ |  __ | 
329 | 0.821 | 0.520 | 0.002 | 3.947 |   8 |   5 |  __ |  __ |  __ |  __ | 
330 | 0.228 | 0.269 | 0.018 | 3.965 |   8 |   4 |   6 | 4.109 | 0.21868 | 4.32797 | 
331 | 0.889 | 0.700 | 0.001 | 3.967 |   8 |   5 |  __ |  __ |  __ |  __ | 
332 | 0.443 | 0.677 | 0.010 | 3.976 |   8 |   4 |   5 | 4.150 | 0.06497 | 4.21525 | 
333 | 0.433 | 0.835 | 0.010 | 3.987 |   8 |   5 |  __ |  __ |  __ |  __ | 
334 | 0.491 | 0.231 | 0.009 | 3.995 |   8 |   5 |  __ |  __ |  __ |  __ | 
335 | 0.306 | 0.135 | 0.014 | 4.010 |   8 |   5 |  __ |  __ |  __ |  __ | 
336 | 0.679 | 0.917 | 0.005 | 4.015 |   8 |   5 |  __ |  __ |  __ |  __ | 
337 | 0.833 | 0.786 | 0.002 | 4.017 |   8 |   5 |  __ |  __ |  __ |  __ | 
338 | 0.037 | 0.670 | 0.040 | 4.057 |   8 |   3 |   8 | 4.203 | 0.06672 | 4.26940 | 
339 | 0.779 | 0.512 | 0.003 | 4.060 |   8 |   4 |   5 | 4.215 | 0.11149 | 4.32674 | 
340 | 0.091 | 0.412 | 0.029 | 4.089 |   8 |   5 |  __ |  __ |  __ |  __ | 
341 | 0.307 | 0.956 | 0.014 | 4.104 |   8 |   4 |   7 | 4.246 | 0.00744 | 4.25366 | 
342 | 0.628 | 0.069 | 0.006 | 4.109 |   8 |   4 |   7 | 4.254 | 0.44443 | 4.69809 | 
343 | 0.849 | 0.862 | 0.002 | 4.111 |   8 |   5 |  __ |  __ |  __ |  __ | 
344 | 0.431 | 0.156 | 0.010 | 4.122 |   8 |   5 |  __ |  __ |  __ |  __ | 
345 | 0.921 | 0.847 | 0.001 | 4.123 |   8 |   5 |  __ |  __ |  __ |  __ | 
346 | 0.457 | 0.311 | 0.010 | 4.132 |   8 |   5 |  __ |  __ |  __ |  __ | 
347 | 0.586 | 0.949 | 0.007 | 4.139 |   8 |   5 |  __ |  __ |  __ |  __ | 
348 | 0.285 | 0.019 | 0.015 | 4.154 |   8 |   4 |   1 | 4.257 | 0.66368 | 4.92059 | 
349 | 0.106 | 0.852 | 0.027 | 4.181 |   8 |   5 |  __ |  __ |  __ |  __ | 
350 | 0.574 | 0.569 | 0.007 | 4.188 |   8 |   5 |  __ |  __ |  __ |  __ | 
351 | 0.972 | 0.024 | 0.000 | 4.189 |   8 |   5 |  __ |  __ |  __ |  __ | 
352 | 0.810 | 0.728 | 0.003 | 4.191 |   8 |   5 |  __ |  __ |  __ |  __ | 
353 | 0.345 | 0.233 | 0.013 | 4.204 |   8 |   4 |   4 | 4.266 | 0.24313 | 4.50957 | 
354 | 0.521 | 0.682 | 0.008 | 4.212 |   8 |   5 |  __ |  __ |  __ |  __ | 
355 | 0.533 | 0.716 | 0.008 | 4.220 |   8 |   4 |   8 | 4.269 | 0.05564 | 4.32504 | 
356 | 0.945 | 0.956 | 0.001 | 4.220 |   8 |   5 |  __ |  __ |  __ |  __ | 
357 | 0.058 | 0.401 | 0.035 | 4.255 |   8 |   3 |   3 | 4.275 | 0.15231 | 4.42708 | 
358 | 0.771 | 0.152 | 0.003 | 4.258 |   8 |   3 |   8 | 4.325 | 0.31350 | 4.63854 | 
359 | 0.778 | 0.690 | 0.003 | 4.261 |   8 |   4 |   5 | 4.327 | 0.06183 | 4.38857 | 
360 | 0.289 | 0.150 | 0.015 | 4.277 |   8 |   2 |   6 | 4.328 | 0.31666 | 4.64463 | 
361 | 0.389 | 0.049 | 0.012 | 4.288 |   8 |   3 |   5 | 4.389 | 0.50418 | 4.89275 | 
362 | 0.581 | 0.815 | 0.007 | 4.295 |   8 |   4 |   2 | 4.408 | 0.03406 | 4.44163 | 
363 | 0.450 | 0.038 | 0.010 | 4.304 |   8 |   5 |  __ |  __ |  __ |  __ | 
364 | 0.901 | 0.875 | 0.001 | 4.306 |   8 |   5 |  __ |  __ |  __ |  __ | 
365 | 0.068 | 0.307 | 0.033 | 4.338 |   8 |   2 |   3 | 4.427 | 0.19689 | 4.62397 | 
366 | 0.103 | 0.964 | 0.028 | 4.366 |   8 |   3 |   2 | 4.442 | 0.00605 | 4.44768 | 
367 | 0.973 | 0.429 | 0.000 | 4.367 |   8 |   4 |   2 | 4.448 | 0.14117 | 4.58885 | 
368 | 0.144 | 0.398 | 0.024 | 4.390 |   8 |   4 |   4 | 4.510 | 0.15363 | 4.66320 | 
369 | 0.130 | 0.373 | 0.025 | 4.415 |   8 |   4 |   2 | 4.589 | 0.16435 | 4.75320 | 
370 | 0.214 | 0.736 | 0.019 | 4.434 |   8 |   4 |   3 | 4.624 | 0.05119 | 4.67517 | 
371 | 0.478 | 0.010 | 0.009 | 4.443 |   8 |   4 |   8 | 4.639 | 0.76685 | 5.40539 | 
372 | 0.551 | 0.270 | 0.007 | 4.450 |   8 |   4 |   6 | 4.645 | 0.21826 | 4.86289 | 
373 | 0.177 | 0.172 | 0.021 | 4.471 |   8 |   5 |  __ |  __ |  __ |  __ | 
374 | 0.438 | 0.123 | 0.010 | 4.481 |   8 |   5 |  __ |  __ |  __ |  __ | 
375 | 0.686 | 0.053 | 0.005 | 4.486 |   8 |   5 |  __ |  __ |  __ |  __ | 
376 | 0.758 | 0.667 | 0.003 | 4.489 |   8 |   5 |  __ |  __ |  __ |  __ | 
377 | 0.492 | 0.358 | 0.009 | 4.498 |   8 |   5 |  __ |  __ |  __ |  __ | 
378 | 0.539 | 0.870 | 0.008 | 4.505 |   8 |   5 |  __ |  __ |  __ |  __ | 
379 | 0.457 | 0.649 | 0.010 | 4.515 |   8 |   4 |   4 | 4.663 | 0.07208 | 4.73528 | 
380 | 0.570 | 0.722 | 0.007 | 4.522 |   8 |   5 |  __ |  __ |  __ |  __ | 
381 | 0.193 | 0.027 | 0.020 | 4.542 |   8 |   5 |  __ |  __ |  __ |  __ | 
382 | 0.872 | 0.969 | 0.002 | 4.544 |   8 |   5 |  __ |  __ |  __ |  __ | 
383 | 0.149 | 0.371 | 0.023 | 4.567 |   8 |   5 |  __ |  __ |  __ |  __ | 
384 | 0.255 | 0.115 | 0.017 | 4.583 |   8 |   5 |  __ |  __ |  __ |  __ | 
385 | 0.543 | 0.697 | 0.007 | 4.591 |   8 |   4 |   3 | 4.675 | 0.06020 | 4.73537 | 
386 | 0.770 | 0.797 | 0.003 | 4.594 |   8 |   5 |  __ |  __ |  __ |  __ | 
387 | 0.164 | 0.851 | 0.022 | 4.616 |   8 |   5 |  __ |  __ |  __ |  __ | 
388 | 0.040 | 0.154 | 0.039 | 4.656 |   8 |   2 |   7 | 4.698 | 0.31230 | 5.01039 | 
389 | 0.055 | 0.828 | 0.035 | 4.691 |   8 |   1 |   4 | 4.735 | 0.03142 | 4.76670 | 
390 | 0.319 | 0.316 | 0.014 | 4.705 |   8 |   1 |   3 | 4.735 | 0.19219 | 4.92756 | 
391 | 0.737 | 0.940 | 0.004 | 4.709 |   8 |   2 |   2 | 4.753 | 0.01034 | 4.76354 | 
392 | 0.632 | 0.615 | 0.006 | 4.714 |   8 |   3 |   2 | 4.764 | 0.08111 | 4.84465 | 
393 | 0.454 | 0.944 | 0.010 | 4.724 |   8 |   4 |   4 | 4.767 | 0.00969 | 4.77638 | 
394 | 0.577 | 0.001 | 0.007 | 4.731 |   8 |   5 |  __ |  __ |  __ |  __ | 
395 | 0.359 | 0.386 | 0.013 | 4.743 |   8 |   3 |   4 | 4.776 | 0.15875 | 4.93513 | 
396 | 0.800 | 0.326 | 0.003 | 4.746 |   8 |   4 |   2 | 4.845 | 0.18664 | 5.03129 | 
397 | 0.469 | 0.963 | 0.009 | 4.755 |   8 |   4 |   6 | 4.863 | 0.00628 | 4.86917 | 
398 | 0.728 | 0.301 | 0.004 | 4.759 |   8 |   5 |  __ |  __ |  __ |  __ | 
399 | 0.346 | 0.810 | 0.013 | 4.772 |   8 |   3 |   6 | 4.869 | 0.03518 | 4.90436 | 
400 | 0.631 | 0.495 | 0.006 | 4.777 |   7 |   3 |   5 | 4.893 | 0.11723 | 5.00997 | 
401 | 0.947 | 0.196 | 0.001 | 4.778 |   7 |   4 |   6 | 4.904 | 0.27138 | 5.17574 | 
402 | 0.563 | 0.611 | 0.007 | 4.785 |   7 |   5 |  __ |  __ |  __ |  __ | 
403 | 0.190 | 0.827 | 0.020 | 4.805 |   7 |   5 |  __ |  __ |  __ |  __ | 
404 | 0.595 | 0.158 | 0.006 | 4.812 |   7 |   5 |  __ |  __ |  __ |  __ | 
405 | 0.430 | 0.722 | 0.010 | 4.822 |   7 |   5 |  __ |  __ |  __ |  __ | 
406 | 0.455 | 0.627 | 0.010 | 4.832 |   7 |   5 |  __ |  __ |  __ |  __ | 
407 | 0.185 | 0.721 | 0.021 | 4.852 |   7 |   4 |   1 | 4.921 | 0.05441 | 4.97500 | 
408 | 0.161 | 0.339 | 0.022 | 4.874 |   7 |   3 |   3 | 4.928 | 0.18040 | 5.10796 | 
409 | 0.189 | 0.087 | 0.020 | 4.895 |   7 |   3 |   4 | 4.935 | 0.40649 | 5.34162 | 
410 | 0.056 | 0.167 | 0.035 | 4.930 |   7 |   1 |   1 | 4.975 | 0.29857 | 5.27357 | 
411 | 0.231 | 0.511 | 0.018 | 4.948 |   7 |   1 |   5 | 5.010 | 0.11179 | 5.12176 | 
412 | 0.273 | 0.893 | 0.016 | 4.964 |   7 |   2 |   7 | 5.010 | 0.01892 | 5.02931 | 
413 | 0.553 | 0.705 | 0.007 | 4.971 |   7 |   3 |   7 | 5.029 | 0.05814 | 5.08745 | 
414 | 0.029 | 0.168 | 0.043 | 5.014 |   7 |   1 |   2 | 5.031 | 0.29760 | 5.32889 | 
415 | 0.049 | 0.640 | 0.037 | 5.051 |   7 |   0 |   7 | 5.087 | 0.07438 | 5.16183 | 
416 | 0.203 | 0.366 | 0.019 | 5.070 |   7 |   1 |   3 | 5.108 | 0.16729 | 5.27525 | 
417 | 0.906 | 0.372 | 0.001 | 5.071 |   7 |   2 |   5 | 5.122 | 0.16473 | 5.28649 | 
418 | 0.181 | 0.357 | 0.021 | 5.092 |   7 |   2 |   7 | 5.162 | 0.17182 | 5.33366 | 
419 | 0.643 | 0.327 | 0.005 | 5.098 |   7 |   3 |   6 | 5.176 | 0.18623 | 5.36197 | 
420 | 0.064 | 0.009 | 0.034 | 5.131 |   7 |   2 |   1 | 5.274 | 0.78168 | 6.05525 | 
421 | 0.429 | 0.570 | 0.010 | 5.141 |   7 |   3 |   3 | 5.275 | 0.09356 | 5.36881 | 
422 | 0.437 | 0.518 | 0.010 | 5.152 |   7 |   4 |   5 | 5.286 | 0.10973 | 5.39622 | 
423 | 0.848 | 0.934 | 0.002 | 5.154 |   7 |   5 |  __ |  __ |  __ |  __ | 
424 | 0.074 | 0.378 | 0.032 | 5.185 |   7 |   3 |   2 | 5.329 | 0.16205 | 5.49094 | 
425 | 0.411 | 0.310 | 0.011 | 5.196 |   7 |   4 |   7 | 5.334 | 0.19521 | 5.52887 | 
426 | 0.070 | 0.229 | 0.032 | 5.228 |   7 |   5 |  __ |  __ |  __ |  __ | 
427 | 0.989 | 0.427 | 0.000 | 5.229 |   7 |   5 |  __ |  __ |  __ |  __ | 
428 | 0.712 | 0.813 | 0.004 | 5.233 |   7 |   5 |  __ |  __ |  __ |  __ | 
429 | 0.383 | 0.216 | 0.012 | 5.244 |   7 |   5 |  __ |  __ |  __ |  __ | 
430 | 0.942 | 0.390 | 0.001 | 5.245 |   7 |   5 |  __ |  __ |  __ |  __ | 
431 | 0.820 | 0.696 | 0.002 | 5.248 |   7 |   5 |  __ |  __ |  __ |  __ | 
432 | 0.751 | 0.999 | 0.003 | 5.251 |   7 |   5 |  __ |  __ |  __ |  __ | 
433 | 0.669 | 0.889 | 0.005 | 5.256 |   7 |   5 |  __ |  __ |  __ |  __ | 
434 | 0.422 | 0.654 | 0.011 | 5.266 |   7 |   5 |  __ |  __ |  __ |  __ | 
435 | 0.121 | 0.255 | 0.026 | 5.292 |   7 |   2 |   4 | 5.342 | 0.22744 | 5.56906 | 
436 | 0.163 | 0.765 | 0.022 | 5.314 |   7 |   3 |   6 | 5.362 | 0.04454 | 5.40651 | 
437 | 0.781 | 0.370 | 0.003 | 5.317 |   7 |   4 |   3 | 5.369 | 0.16572 | 5.53453 | 
438 | 0.502 | 0.992 | 0.008 | 5.326 |   7 |   5 |  __ |  __ |  __ |  __ | 
439 | 0.929 | 0.292 | 0.001 | 5.327 |   7 |   5 |  __ |  __ |  __ |  __ | 
440 | 0.169 | 0.316 | 0.022 | 5.348 |   7 |   2 |   5 | 5.396 | 0.19190 | 5.58812 | 
441 | 0.415 | 0.117 | 0.011 | 5.359 |   7 |   3 |   6 | 5.407 | 0.35746 | 5.76397 | 
442 | 0.088 | 0.349 | 0.030 | 5.389 |   7 |   2 |   2 | 5.491 | 0.17543 | 5.66636 | 
443 | 0.995 | 0.405 | 0.000 | 5.389 |   7 |   3 |   7 | 5.529 | 0.15059 | 5.67946 | 
444 | 0.046 | 0.083 | 0.038 | 5.426 |   7 |   2 |   3 | 5.535 | 0.41535 | 5.94988 | 
445 | 0.029 | 0.337 | 0.043 | 5.469 |   7 |   3 |   4 | 5.569 | 0.18148 | 5.75055 | 
446 | 0.542 | 0.835 | 0.007 | 5.477 |   7 |   4 |   5 | 5.588 | 0.03003 | 5.61815 | 
447 | 0.650 | 0.252 | 0.005 | 5.482 |   7 |   5 |  __ |  __ |  __ |  __ | 
448 | 0.681 | 0.453 | 0.005 | 5.487 |   7 |   5 |  __ |  __ |  __ |  __ | 
449 | 0.094 | 0.903 | 0.029 | 5.516 |   7 |   4 |   5 | 5.618 | 0.01698 | 5.63513 | 
450 | 0.308 | 0.559 | 0.014 | 5.530 |   7 |   4 |   5 | 5.635 | 0.09679 | 5.73191 | 
451 | 0.433 | 0.920 | 0.010 | 5.540 |   7 |   4 |   2 | 5.666 | 0.01387 | 5.68023 | 
452 | 0.876 | 0.341 | 0.002 | 5.542 |   7 |   5 |  __ |  __ |  __ |  __ | 
453 | 0.346 | 0.944 | 0.013 | 5.555 |   7 |   5 |  __ |  __ |  __ |  __ | 
454 | 0.435 | 0.684 | 0.010 | 5.565 |   7 |   5 |  __ |  __ |  __ |  __ | 
455 | 0.688 | 0.660 | 0.005 | 5.569 |   7 |   4 |   7 | 5.679 | 0.06923 | 5.74869 | 
456 | 0.403 | 0.817 | 0.011 | 5.581 |   7 |   5 |  __ |  __ |  __ |  __ | 
457 | 0.295 | 0.254 | 0.015 | 5.595 |   7 |   4 |   2 | 5.680 | 0.22872 | 5.90895 | 
458 | 0.839 | 0.920 | 0.002 | 5.598 |   7 |   5 |  __ |  __ |  __ |  __ | 
459 | 0.507 | 0.458 | 0.008 | 5.606 |   7 |   5 |  __ |  __ |  __ |  __ | 
460 | 0.194 | 0.528 | 0.020 | 5.626 |   7 |   4 |   5 | 5.732 | 0.10652 | 5.83843 | 
461 | 0.986 | 0.749 | 0.000 | 5.626 |   7 |   5 |  __ |  __ |  __ |  __ | 
462 | 0.482 | 0.873 | 0.009 | 5.635 |   7 |   5 |  __ |  __ |  __ |  __ | 
463 | 0.055 | 0.505 | 0.035 | 5.670 |   7 |   3 |   7 | 5.749 | 0.11401 | 5.86270 | 
464 | 0.961 | 0.648 | 0.000 | 5.671 |   7 |   4 |   4 | 5.751 | 0.07244 | 5.82298 | 
465 | 0.001 | 0.973 | 0.091 | 5.762 |   7 |   0 |   6 | 5.764 | 0.00452 | 5.76848 | 
466 | 0.825 | 0.434 | 0.002 | 5.764 |   7 |   0 |   6 | 5.768 | 0.13909 | 5.90758 | 
467 | 0.687 | 0.589 | 0.005 | 5.769 |   7 |   0 |   4 | 5.823 | 0.08821 | 5.91119 | 
468 | 0.375 | 0.323 | 0.012 | 5.781 |   7 |   1 |   5 | 5.838 | 0.18814 | 6.02657 | 
469 | 0.278 | 0.501 | 0.016 | 5.796 |   7 |   2 |   7 | 5.863 | 0.11506 | 5.97776 | 
470 | 0.117 | 0.308 | 0.026 | 5.822 |   7 |   3 |   6 | 5.908 | 0.19636 | 6.10394 | 
471 | 0.064 | 0.492 | 0.034 | 5.856 |   7 |   2 |   2 | 5.909 | 0.11818 | 6.02713 | 
472 | 0.755 | 0.213 | 0.003 | 5.859 |   7 |   3 |   4 | 5.911 | 0.25747 | 6.16866 | 
473 | 0.838 | 0.576 | 0.002 | 5.861 |   7 |   4 |   3 | 5.950 | 0.09190 | 6.04178 | 
474 | 0.923 | 0.228 | 0.001 | 5.862 |   7 |   5 |  __ |  __ |  __ |  __ | 
475 | 0.815 | 0.144 | 0.002 | 5.865 |   7 |   4 |   7 | 5.978 | 0.32354 | 6.30130 | 
476 | 0.259 | 0.183 | 0.016 | 5.881 |   7 |   5 |  __ |  __ |  __ |  __ | 
477 | 0.901 | 0.381 | 0.001 | 5.883 |   7 |   5 |  __ |  __ |  __ |  __ | 
